"long","lat","order","hole","piece","group","id"
-960480.6696,6924742.6343,272,FALSE,"1","Clare.1","Clare"
-965948.6256,6925482.8836,273,FALSE,"1","Clare.1","Clare"
-969116.7105,6922872.3929,274,FALSE,"1","Clare.1","Clare"
-980717.2275,6925070.4523,275,FALSE,"1","Clare.1","Clare"
-980854.6486,6926976.0357,276,FALSE,"1","Clare.1","Clare"
-978363.2597,6927986.5822,277,FALSE,"1","Clare.1","Clare"
-976532.6989,6932908.0896,278,FALSE,"1","Clare.1","Clare"
-978520.7435,6927945.5681,279,FALSE,"1","Clare.1","Clare"
-980752.0146,6927321.6111,280,FALSE,"1","Clare.1","Clare"
-982508.2805,6924959.7766,281,FALSE,"1","Clare.1","Clare"
-988627.0429,6927592.8185,282,FALSE,"1","Clare.1","Clare"
-990246.7428,6927245.7809,283,FALSE,"1","Clare.1","Clare"
-992287.7049,6924165.1712,284,FALSE,"1","Clare.1","Clare"
-992787.2361,6925891.49,285,FALSE,"1","Clare.1","Clare"
-992991.8847,6924002.6073,286,FALSE,"1","Clare.1","Clare"
-995652.0205,6925680.5457,287,FALSE,"1","Clare.1","Clare"
-998092.212,6924807.9301,288,FALSE,"1","Clare.1","Clare"
-997874.0395,6928224.6557,289,FALSE,"1","Clare.1","Clare"
-996927.5042,6927767.1176,290,FALSE,"1","Clare.1","Clare"
-996270.0141,6927989.1735,291,FALSE,"1","Clare.1","Clare"
-994357.7322,6929772.2355,292,FALSE,"1","Clare.1","Clare"
-994784.8978,6930551.9661,293,FALSE,"1","Clare.1","Clare"
-995439.9085,6930953.2094,294,FALSE,"1","Clare.1","Clare"
-997101.8963,6933248.8523,295,FALSE,"1","Clare.1","Clare"
-995359.5111,6935069.202,296,FALSE,"1","Clare.1","Clare"
-999343.2067,6938476.1394,297,FALSE,"1","Clare.1","Clare"
-995961.2402,6940485.4088,298,FALSE,"1","Clare.1","Clare"
-995016.3175,6944386.6774,299,FALSE,"1","Clare.1","Clare"
-991971.0893,6946070.6509,300,FALSE,"1","Clare.1","Clare"
-991262.4683,6944990.8232,301,FALSE,"1","Clare.1","Clare"
-991963.9166,6946103.031,302,FALSE,"1","Clare.1","Clare"
-994994.3984,6944497.4338,303,FALSE,"1","Clare.1","Clare"
-995435.1486,6943810.904,304,FALSE,"1","Clare.1","Clare"
-997207.1892,6944757.2343,305,FALSE,"1","Clare.1","Clare"
-996815.6672,6946007.384,306,FALSE,"1","Clare.1","Clare"
-996793.5678,6946670.2127,307,FALSE,"1","Clare.1","Clare"
-996795.5295,6948477.33,308,FALSE,"1","Clare.1","Clare"
-997841.5331,6953862.7789,309,FALSE,"1","Clare.1","Clare"
-998635.0926,6956041.8148,310,FALSE,"1","Clare.1","Clare"
-999175.9762,6956222.3705,311,FALSE,"1","Clare.1","Clare"
-998506.6479,6955213.7226,312,FALSE,"1","Clare.1","Clare"
-1000700.8126,6954699.5299,313,FALSE,"1","Clare.1","Clare"
-998387.1697,6955191.2414,314,FALSE,"1","Clare.1","Clare"
-996812.2862,6946393.0714,315,FALSE,"1","Clare.1","Clare"
-997998.2372,6945388.0275,316,FALSE,"1","Clare.1","Clare"
